Hs in m, Tp in sec, Dp in deg, Depth in m

 yr,  mo,  da,  hr,  mn,  sc,  Hs,  H1/10, H1/3, Hmax,  Tp, T1/10, T1/3, Tmax,   Dp,  Depth,     CM,       CD
22,10,03,10,27,00,0.34,0.45,0.36,0.60, 8.5, 6.0, 5.1, 6.1, 193, 10.535,   0.182,   243
22,10,03,12,27,00,0.20,-0.00,-0.00,-0.00, 8.5,-0.1,-0.1,-0.1, 177, 11.297,   0.183,   329
22,10,03,14,27,00,0.22,-0.00,-0.00,-0.00, 8.5,-0.1,-0.1,-0.1, 165, 12.410,   0.180,   339
22,10,03,16,27,00,0.44,0.68,0.56,0.92, 8.5, 5.9, 5.7, 6.3, 185, 12.892,   0.043,   358
22,10,03,18,27,00,0.38,-0.00,-0.00,-0.00, 9.8,-0.1,-0.1,-0.1, 205, 12.382,   0.161,   141
22,10,03,20,27,00,0.36,-0.00,-0.00,-0.00, 4.1,-0.1,-0.1,-0.1, 181, 11.014,   0.207,   191
22,10,03,22,27,00,0.34,0.45,0.37,0.62, 7.5, 6.0, 5.4, 5.6, 185, 10.126,   0.116,   239
22,10,04,00,27,00,0.47,0.61,0.51,0.75, 4.7, 6.1, 6.0, 7.0, 189, 10.456,   0.109,   287
22,10,04,02,27,00,0.36,0.51,0.41,0.64, 8.5, 6.1, 5.5, 6.3, 201, 11.585,   0.261,   342
22,10,04,04,27,00,0.29,-0.00,-0.00,-0.00, 8.5,-0.1,-0.1,-0.1, 181, 12.372,   0.114,   345
22,10,04,06,27,00,0.35,-0.00,-0.00,-0.00, 6.1,-0.1,-0.1,-0.1, 166, 12.330,   0.106,   150
22,10,04,08,27,00,0.32,-0.00,-0.00,-0.00, 6.7,-0.1,-0.1,-0.1, 186, 11.380,   0.126,   161
22,10,04,10,27,00,0.41,0.57,0.45,0.79, 8.5, 6.9, 6.5, 6.4, 193, 10.450,   0.138,   238
22,10,04,12,27,00,0.47,0.71,0.59,0.86, 9.8, 5.7, 5.6, 4.5, 181, 10.656,   0.108,   261
22,10,04,14,27,00,0.44,0.68,0.59,0.76, 8.5, 6.4, 5.6, 7.1, 169, 11.719,   0.213,   337
22,10,04,16,27,00,0.53,0.68,0.55,0.90, 8.5, 6.6, 6.0, 6.6, 177, 12.651,   0.138,   339
22,10,04,18,27,00,0.60,0.78,0.63,1.05, 8.5, 7.4, 6.9, 7.3, 197, 12.800,   0.052,   158
22,10,04,20,27,00,0.51,-0.00,-0.00,-0.00, 7.5,-0.1,-0.1,-0.1, 198, 11.846,   0.224,   161
22,10,04,22,27,00,0.52,0.66,0.54,0.82, 9.8, 7.7, 7.1, 8.0, 182, 10.387,   0.129,   217
22,10,05,00,27,00,0.62,-0.00,-0.00,-0.00, 8.5,-0.1,-0.1,-0.1, 173, 10.071,   0.187,   240
22,10,05,02,27,00,0.48,-0.00,-0.00,-0.00, 9.8,-0.1,-0.1,-0.1, 181, 10.853,   0.232,   334
22,10,05,04,27,00,0.44,-0.00,-0.00,-0.00, 8.5,-0.1,-0.1,-0.1, 177, 12.025,   0.211,   338
22,10,05,06,27,00,0.51,-0.00,-0.00,-0.00, 8.5,-0.1,-0.1,-0.1, 193, 12.586,   0.053,   342
22,10,05,08,27,00,0.70,0.93,0.85,1.02, 9.8, 6.7, 5.6, 9.6, 169, 12.083,   0.109,   142
22,10,05,10,27,00,0.53,-0.00,-0.00,-0.00, 8.5,-0.1,-0.1,-0.1, 185, 10.836,   0.175,   206
22,10,05,12,27,00,0.64,0.81,0.67,0.96, 7.5, 6.8, 6.9, 6.9, 185, 10.289,   0.198,   240
22,10,05,14,27,00,0.51,-0.00,-0.00,-0.00, 8.5,-0.1,-0.1,-0.1, 181, 10.980,   0.182,   331
22,10,05,16,27,00,0.42,-0.00,-0.00,-0.00, 7.5,-0.1,-0.1,-0.1, 177, 12.216,   0.228,   337
22,10,05,18,27,00,0.56,0.70,0.57,0.88, 6.7, 7.4, 6.7, 7.5, 181, 13.003,   0.105,   339
22,10,05,20,27,00,0.53,-0.00,-0.00,-0.00, 7.5,-0.1,-0.1,-0.1, 193, 12.621,   0.127,   138
22,10,05,22,27,00,0.45,-0.00,-0.00,-0.00, 8.5,-0.1,-0.1,-0.1, 173, 11.148,   0.220,   192
22,10,06,00,27,00,0.49,-0.00,-0.00,-0.00, 6.7,-0.1,-0.1,-0.1, 185, 10.076,   0.119,   219
